[2024-01-09 16:47:03,503: INFO: utils: yaml file is saved]
[2024-01-09 16:48:41,589: INFO: utils: yaml file is saved]
[2024-01-09 17:16:37,743: INFO: utils: config.yaml yaml_file is loaded]
[2024-01-09 17:18:21,143: INFO: utils: metrics.yaml yaml_file is loaded]
[2024-01-09 17:23:46,125: INFO: utils: metrics.yaml yaml_file is loaded]
[2024-01-09 17:24:15,754: INFO: utils: metrics.yaml yaml_file is loaded]
[2024-01-09 17:24:15,770: INFO: utils: pickled_object: artifacts\model\model.joblib loaded]
[2024-01-11 22:53:27,807: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 22:55:11,734: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 22:55:22,548: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 22:55:23,368: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 22:55:23,375: INFO: tpe: TPE using 0 trials]
[2024-01-11 22:55:23,436: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 22:55:23,437: INFO: tpe: TPE using 1/1 trials with best loss 443680.000000]
[2024-01-11 22:55:23,500: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 22:55:23,500: INFO: tpe: TPE using 2/2 trials with best loss 443680.000000]
[2024-01-11 22:55:23,562: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 22:55:23,563: INFO: tpe: TPE using 3/3 trials with best loss 443680.000000]
[2024-01-11 22:55:23,633: INFO: tpe: build_posterior_wrapper took 0.001003 seconds]
[2024-01-11 22:55:23,633: INFO: tpe: TPE using 4/4 trials with best loss 443680.000000]
[2024-01-11 22:55:23,695: INFO: tpe: build_posterior_wrapper took 0.001000 seconds]
[2024-01-11 22:55:23,695: INFO: tpe: TPE using 5/5 trials with best loss 437200.000000]
[2024-01-11 22:55:23,752: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 22:55:23,753: INFO: tpe: TPE using 6/6 trials with best loss 437200.000000]
[2024-01-11 22:55:23,815: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 22:55:23,816: INFO: tpe: TPE using 7/7 trials with best loss 437200.000000]
[2024-01-11 22:55:23,876: INFO: tpe: build_posterior_wrapper took 0.001019 seconds]
[2024-01-11 22:55:23,877: INFO: tpe: TPE using 8/8 trials with best loss 437200.000000]
[2024-01-11 22:55:23,933: INFO: tpe: build_posterior_wrapper took 0.001016 seconds]
[2024-01-11 22:55:23,933: INFO: tpe: TPE using 9/9 trials with best loss 437200.000000]
[2024-01-11 22:56:52,983: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 22:57:49,688: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 22:58:57,951: INFO: tpe: build_posterior_wrapper took 0.002954 seconds]
[2024-01-11 22:58:57,952: INFO: tpe: TPE using 0 trials]
[2024-01-11 22:58:59,223: INFO: tpe: build_posterior_wrapper took 0.002000 seconds]
[2024-01-11 22:58:59,225: INFO: tpe: TPE using 1/1 trials with best loss 329540.000000]
[2024-01-11 23:00:14,834: INFO: tpe: build_posterior_wrapper took 0.003000 seconds]
[2024-01-11 23:00:14,835: INFO: tpe: TPE using 2/2 trials with best loss 144540.000000]
[2024-01-11 23:00:15,128: INFO: tpe: build_posterior_wrapper took 0.003046 seconds]
[2024-01-11 23:00:15,129: INFO: tpe: TPE using 3/3 trials with best loss 144540.000000]
[2024-01-11 23:00:16,125: INFO: tpe: build_posterior_wrapper took 0.003000 seconds]
[2024-01-11 23:00:16,126: INFO: tpe: TPE using 4/4 trials with best loss 93550.000000]
[2024-01-11 23:00:24,548: INFO: tpe: build_posterior_wrapper took 0.002014 seconds]
[2024-01-11 23:00:24,549: INFO: tpe: TPE using 5/5 trials with best loss 93550.000000]
[2024-01-11 23:13:27,223: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:14:42,703: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:15:06,587: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:15:29,627: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:16:24,110: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:17:13,582: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:18:29,139: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:20:08,631: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:20:38,802: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:20:39,995: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:39,996: INFO: tpe: TPE using 0 trials]
[2024-01-11 23:20:40,091: INFO: tpe: build_posterior_wrapper took 0.001000 seconds]
[2024-01-11 23:20:40,092: INFO: tpe: TPE using 1/1 trials with best loss 443680.000000]
[2024-01-11 23:20:40,181: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,182: INFO: tpe: TPE using 2/2 trials with best loss 437200.000000]
[2024-01-11 23:20:40,273: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,274: INFO: tpe: TPE using 3/3 trials with best loss 437200.000000]
[2024-01-11 23:20:40,388: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,389: INFO: tpe: TPE using 4/4 trials with best loss 437200.000000]
[2024-01-11 23:20:40,498: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,499: INFO: tpe: TPE using 5/5 trials with best loss 437200.000000]
[2024-01-11 23:20:40,625: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,626: INFO: tpe: TPE using 6/6 trials with best loss 437200.000000]
[2024-01-11 23:20:40,744: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,745: INFO: tpe: TPE using 7/7 trials with best loss 437200.000000]
[2024-01-11 23:20:40,867: INFO: tpe: build_posterior_wrapper took 0.001035 seconds]
[2024-01-11 23:20:40,870: INFO: tpe: TPE using 8/8 trials with best loss 437200.000000]
[2024-01-11 23:20:40,996: INFO: tpe: build_posterior_wrapper took 0.000000 seconds]
[2024-01-11 23:20:40,997: INFO: tpe: TPE using 9/9 trials with best loss 437200.000000]
[2024-01-11 23:21:17,069: INFO: utils: params.yaml yaml_file is loaded]
[2024-01-11 23:24:05,634: INFO: tpe: build_posterior_wrapper took 0.001999 seconds]
[2024-01-11 23:24:05,634: INFO: tpe: TPE using 0 trials]
[2024-01-11 23:24:40,010: INFO: tpe: build_posterior_wrapper took 0.002012 seconds]
[2024-01-11 23:24:40,011: INFO: tpe: TPE using 1/1 trials with best loss 147550.000000]
[2024-01-11 23:24:50,259: INFO: tpe: build_posterior_wrapper took 0.002000 seconds]
[2024-01-11 23:24:50,260: INFO: tpe: TPE using 2/2 trials with best loss 57070.000000]
[2024-01-11 23:24:50,960: INFO: tpe: build_posterior_wrapper took 0.002001 seconds]
[2024-01-11 23:24:50,962: INFO: tpe: TPE using 3/3 trials with best loss 57070.000000]
[2024-01-11 23:24:51,265: INFO: tpe: build_posterior_wrapper took 0.002001 seconds]
[2024-01-11 23:24:51,268: INFO: tpe: TPE using 4/4 trials with best loss 57070.000000]
[2024-01-11 23:24:52,255: INFO: tpe: build_posterior_wrapper took 0.002001 seconds]
[2024-01-11 23:24:52,257: INFO: tpe: TPE using 5/5 trials with best loss 57070.000000]
[2024-01-11 23:24:56,321: INFO: tpe: build_posterior_wrapper took 0.001999 seconds]
[2024-01-11 23:24:56,322: INFO: tpe: TPE using 6/6 trials with best loss 57070.000000]
[2024-01-11 23:24:56,699: INFO: tpe: build_posterior_wrapper took 0.002000 seconds]
[2024-01-11 23:24:56,700: INFO: tpe: TPE using 7/7 trials with best loss 57070.000000]
[2024-01-11 23:24:57,379: INFO: tpe: build_posterior_wrapper took 0.001999 seconds]
[2024-01-11 23:24:57,382: INFO: tpe: TPE using 8/8 trials with best loss 57070.000000]
[2024-01-11 23:24:57,609: INFO: tpe: build_posterior_wrapper took 0.001999 seconds]
[2024-01-11 23:24:57,611: INFO: tpe: TPE using 9/9 trials with best loss 57070.000000]
[2024-01-11 23:57:30,546: INFO: utils: params.yaml yaml_file is loaded]
